nivel_territorial_cod,nivel_territorial_nome,unidade_medida_cod,unidade_medida_nome,valor,geo_cod,geo_nome,variavel_cod,variavel_nome,setor_cod,setor_nome,periodo_trimestral
1,Brasil,1550,Milhões de Reais,8424.11,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1996Q1
1,Brasil,1550,Milhões de Reais,41649.54,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1996Q1
1,Brasil,1550,Milhões de Reais,1146.04,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1996Q1
1,Brasil,1550,Milhões de Reais,25470.3,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1996Q1
1,Brasil,1550,Milhões de Reais,3788.82,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1996Q1
1,Brasil,1550,Milhões de Reais,11041.12,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1996Q1
1,Brasil,1550,Milhões de Reais,103265.15,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1996Q1
1,Brasil,1550,Milhões de Reais,13913.77,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1996Q1
1,Brasil,1550,Milhões de Reais,5553.95,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1996Q1
1,Brasil,1550,Milhões de Reais,3857.01,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1996Q1
1,Brasil,1550,Milhões de Reais,16616.57,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1996Q1
1,Brasil,1550,Milhões de Reais,15371.39,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1996Q1
1,Brasil,1550,Milhões de Reais,23000.21,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1996Q1
